library,sample
D23-14114-1,1A
D23-14114-2,1A
D23-14115-1,2A
D23-14115-2,2A
D23-14116-1,6A
D23-14116-2,6A
D23-14117-1,1C
D23-14117-2,1C
D23-14118-1,2C
D23-14118-2,2C
D23-14119-1,6C
D23-14119-2,6C
D23-14120-1,SS1
D23-14120-2,SS1
D23-14121-1,SS2
D23-14121-2,SS2
D23-14904-1,1A
D23-14904-2,1A
D23-14905-1,2A
D23-14905-2,2A
D23-14906-1,6A
D23-14906-2,6A
D23-14907-1,1C
D23-14907-2,1C
D23-14908-1,2C
D23-14908-2,2C
D23-14909-1,6C
D23-14909-2,6C
D23-14910-1,SS1
D23-14910-2,SS1
D23-14911-1,SS2
D23-14911-2,SS2
